Dénomination,Voies d'admninistration,Autorisation,,
CLOXACILLINE STRAGEN 1 g,poudre pour solution injectable pour perfusion,intraveineuse,,
CLOXACILLINE STRAGEN 2 g,poudre pour solution injectable pour perfusion,intraveineuse,,
CLOXACILLINE STRAGEN 500 mg,poudre pour solution injectable,intraveineuse,,
CLOXACILLINE VIATRIS 500 mg,gélule,orale,,
CLOXACILLINE ZENTIVA 500 mg,gélule,orale,,
CLOZAPINE ZENTIVA 100 mg,comprimé sécable,orale,,
CLOZAPINE ZENTIVA 25 mg,comprimé sécable,orale,,
CNICUS BENEDICTUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CO-RENITEC 20 mg/12, comprimé,comprimé,,
COAPROVEL 150 mg/12, comprimé pelliculé,comprimé pelliculé,,
COAPROVEL 300 mg/12, comprimé pelliculé,comprimé pelliculé,,
COAPROVEL 300 mg/25 mg,comprimé pelliculé,orale,,
COBALT OLIGOSOL,solution buvable,orale/sublinguale,,
COBALTUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COBALTUM METALLICUM WELEDA, solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCCULINE,comprimé orodispersible,sublinguale,,
COCCULUS INDICUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCCULUS INDICUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCCULUS INDICUS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
COCCUS CACTI BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCCUS CACTI LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCCUS CACTI WELEDA,granules et  solution en gouttes en gouttes et  poudre,orale/sublinguale,,
COCHLEARIA ARMORACIA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCHLEARIA ARMORACIA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCHLEARIA OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COCHLEARIA OFFICINALIS WELEDA,granules et  solution en gouttes en gouttes et  crème,cutanée/orale/sublinguale,,
COCYNTAL,solution buvable,orale,,
CODOLIPRANE 500 mg/30 mg,comprimé,orale,,
CODOLIPRANE ADULTES 400 mg/20 mg,comprimé sécable,orale,,
COFFEA CRUDA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COFFEA CRUDA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COFFEA TOSTA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COFFEA TOSTA WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
COKENZEN 16 mg/12, comprimé sécable,comprimé sécable,,
COKENZEN 8 mg/12, comprimé sécable,comprimé sécable,,
COLCHICINE OPOCALCIUM 1 mg,comprimé sécable,orale,,
COLCHICUM AUTUMNALE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLCHICUM AUTUMNALE LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLCHICUM AUTUMNALE, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH,granules et  solution en gouttes en gouttes et  crème,,
COLCHIMAX,comprimé pelliculé sécable,orale,,
COLIBACILLINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLIBACILLINUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLLINSONIA CANADENSIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLLINSONIA CANADENSIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLLUDOL,solution pour pulvérisation,voie buccale autre,,
COLLYRE BLEU LAITER,collyre,ophtalmique,,
COLOCYNTHIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLOCYNTHIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLOCYNTHIS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
COLOFOAM,mousse,rectale,,
COLOKIT,comprimé,orale,,
COLON BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
COLON WELEDA,granules et  solution en gouttes en gouttes et  crème,cutanée/orale/sublinguale,,
COLOPEG,poudre pour solution buvable,orale,,
COLPERMIN 187 mg,gélule gastro-résistant(e),orale,,
COLPOTROPHINE 1 POUR CENT,crème,vaginale,,
COLPOTROPHINE,capsule,vaginale,,
COLPRONE 5 mg,comprimé,orale,,
COMBANTRIN 125 mg,comprimé,orale,,
COMBANTRIN 125 mg/2, suspension buvable,suspension buvable,,
COMBIGAN 2 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
COMBODART 0,4 mg, gélule,,
COMIRNATY 10 microgrammes/dose,dispersion à diluer pour dispersion injectable,intramusculaire,,
COMIRNATY 3 microgrammes/dose,dispersion à diluer pour dispersion injectable,intramusculaire,,
COMIRNATY 30 microgrammes/dose,dispersion injectable,intramusculaire,,
COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 microgrammes)/dose, Vaccin à ARNm (à nucléoside modifié) contre la COVID-19,dispersion injectable,,
COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 microgrammes)/dose,dispersion injectable,intramusculaire,,
COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 microgrammes)/dose,dispersion à diluer pour dispersion injectable,intramusculaire,,
COMTAN 200 mg,comprimé pelliculé,orale,,
CONCHIOLINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONDURANGO BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONDYLINE 0, solution pour application cutanée,solution pour application,,
CONEBILOX 5 mg/12, comprimé pelliculé,comprimé pelliculé,,
CONEBILOX 5 mg/25 mg,comprimé pelliculé,orale,,
CONGLOMERAT BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONIUM MACULATUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONIUM MACULATUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONIUM MACULATUM WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
CONTALAX,comprimé gastro-résistant(e),orale,,
CONTRACNE 10 mg,capsule molle,orale,,
CONTRACNE 20 mg,capsule molle,orale,,
CONTRACNE 40 mg,capsule molle,orale,,
CONTRACNE 5 mg,capsule molle,orale,,
CONTRAMAL 100 mg/ml,solution buvable,orale,,
CONTRAMAL 50 mg,gélule,orale,,
CONTRAMAL LP 100 mg,comprimé à libération prolongée,orale,,
CONTRAMAL LP 150 mg,comprimé à libération prolongée,orale,,
CONTRAMAL LP 200 mg,comprimé à libération prolongée,orale,,
CONTRATHION 2 %,poudre et  solvant pour solution injectable,intramusculaire/intraveineuse/orale/sous-cutanée,,
CONTRE-COUPS DE L'ABBE PERDRIGEON,solution pour application,cutanée,,
CONVALLARIA MAJALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONVALLARIA MAJALIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONVALLARIA MAJALIS, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH,granules et  solution en gouttes en gouttes et  crème,,
CONVAMEO,granules,sublinguale,,
CONVOLVULUS ARVENSIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CONVULINE 0, comprimé pelliculé,comprimé pelliculé,,
COOLMETEC 20 mg/12, comprimé pelliculé,comprimé pelliculé,,
COOLMETEC 20 mg/25 mg,comprimé pelliculé,orale,,
COOLMETEC 40 mg/12, comprimé pelliculé,comprimé pelliculé,,
COOLMETEC 40 mg/25 mg,comprimé pelliculé,orale,,
COPAXONE 20 mg/ml,solution injectable,sous-cutanée,,
COPAXONE 40 mg/ml,solution injectable,sous-cutanée,,
COQUELUSEDAL ADULTES,suppositoire,rectale,,
COQUELUSEDAL ENFANTS,suppositoire,rectale,,
COQUELUSEDAL NOURRISSONS,suppositoire,rectale,,
COQUELUSEDAL PARACETAMOL 100 mg,suppositoire,rectale,,
COQUELUSEDAL PARACETAMOL 250 mg,suppositoire,rectale,,
COQUELUSEDAL PARACETAMOL 500 mg,suppositoire,rectale,,
CORALLIUM RUBRUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CORALLIUM RUBRUM WELEDA, solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
CORAZED 1%,crème,cutanée,,
CORDARONE 200 mg,comprimé sécable,orale,,
CORGARD 80 mg,comprimé sécable,orale,,
CORICIDE LE DIABLE 11 g/100 g,solution pour application,cutanée,,
CORTANCYL 1 mg,comprimé,orale,,
CORTANCYL 20 mg,comprimé sécable,orale,,
CORTANCYL 5 mg,comprimé sécable,orale,,
CORTAPAISYL 0, crème,crème,,
CORTEX CEREBRAL BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CORTEX CEREBRAL WELEDA,granules et  solution en gouttes en gouttes et  crème,cutanée/orale/sublinguale,,
CORTEX SURRENAL BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CORTISEDERMYL 0, crème,crème,,
CORTISONE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CORVASAL 2 mg,comprimé sécable,orale,,
CORVASAL 4 mg,comprimé,orale,,
CORYZALIA,comprimé orodispersible,sublinguale,,
COSIDIME 20 mg/mL + 5 mg/mL,collyre en solution,ophtalmique,,
COSIMPREL 10 mg/10 mg,comprimé pelliculé,orale,,
COSIMPREL 10 mg/5 mg,comprimé pelliculé,orale,,
COSIMPREL 5 mg/10 mg comprimé pelliculé sécable,orale,Autorisation active,,
COSIMPREL 5 mg/5 mg,comprimé pelliculé sécable,orale,,
COSMEGEN 0, poudre pour solution injectable,poudre pour solution injectable,,
COSOPT 20 mg/ml + 5 mg/ml,collyre en solution,ophtalmique,,
COSTEC 20 mg/mL + 5 mg/mL,collyre en solution,ophtalmique,,
COTAREG 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
COTAREG 160 mg/25 mg,comprimé pelliculé,orale,,
COTAREG 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
COTELLIC 20 mg,comprimé pelliculé,orale,,
COTRIATEC 5 mg/12, comprimé,comprimé,,
COTRIMOXAZOLE TEVA 800 mg/160 mg,comprimé,orale,,
COUMADINE 2 mg,comprimé sécable,orale,,
COUMADINE 5 mg,comprimé sécable,orale,,
COVERAM 10 mg/10 mg,comprimé,orale,,
COVERAM 10 mg/5 mg,comprimé,orale,,
COVERAM 5 mg/10 mg,comprimé,orale,,
COVERAM 5 mg/5 mg,comprimé,orale,,
COVERSYL 10 mg,comprimé pelliculé,orale,,
COVERSYL 2, comprimé pelliculé,comprimé pelliculé,,
COVERSYL 5 mg,comprimé pelliculé sécable,orale,,
COZAAR 100 mg,comprimé pelliculé,orale,,
COZAAR 50 mg,comprimé pelliculé,orale,,
CRATAEGUS COMPLEXE N°15,solution buvable en gouttes,sublinguale,,
CRATAEGUS OXYACANTHA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CRATAEGUS OXYACANTHA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CRATAEGUS OXYACANTHA TEINTURE MERE BOIRON,liquide,orale,,
CRATAEGUS, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH,granules et  solution en gouttes en gouttes et  crème,,
CREME AU CALENDULA,crème,cutanée,,
CREON 10 000 U,gélule gastro-résistant(e),orale,,
CREON 25 000 U,gélule gastro-résistant(e),orale,,
CREON 35 000 U ,gélule gastro-résistant(e),orale,,
CREON 5000 U,granulés gastro-résistant(e),orale,,
CRESOLUM BOIRON, comprimé et solution(s) et granules et poudre,orale/sublinguale,,
CRESTOR 10 mg,comprimé pelliculé,orale,,
CRESTOR 20 mg,comprimé pelliculé,orale,,
CRESTOR 5 mg,comprimé pelliculé,orale,,
CRINONE 80 mg/g,gel,vaginale,,
CRISTAL ADULTES,suppositoire,rectale,,
CRISTAL ENFANTS,suppositoire,rectale,,
CRISTAL NOURRISSONS,suppositoire,rectale,,
CROCUS SATIVUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CROCUS SATIVUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CROMABAK 20 mg/ml,collyre en solution,ophtalmique,,
CROMADOSES 2 POUR CENT,collyre en solution,ophtalmique,,
CROMEDIL 2 POUR CENT,collyre en solution,ophtalmique,,
CROMOFREE 2 %,collyre en solution,ophtalmique,,
CROMOGLICATE DE SODIUM BIOGARAN 2 %,collyre en solution,ophtalmique,,
CROMOGLICATE DE SODIUM VIATRIS 2 %,collyre en solution,ophtalmique,,
CROMOPTIC 2 %,collyre en solution,ophtalmique,,
CROMORHINOL 2 %,solution pour pulvérisation,nasale,,
CROTALUS HORRIDUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CROTALUS HORRIDUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CROTALUS HORRIDUS WELEDA,granules et  solution en gouttes en gouttes et  crème,cutanée/orale/sublinguale,,
CROTON TIGLIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CROTON TIGLIUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUCURBITA PEPO BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUFENCE 200 mg,gélule,orale,,
CUIVRE-OR-ARGENT OLIGOSOL,solution buvable,orale/sublinguale,,
CUPRESSUS SEMPERVIRENS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRESSUS SEMPERVIRENS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRIOR 150 mg,comprimé,orale,,
CUPRUM ACETICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM ACETICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM ACETICUM WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
CUPRUM ARSENICOSUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM METALLICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM METALLICUM WELEDA, solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM OXYDATUM NIGRUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM SULFURICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CUPRUM SULFURICUM WELEDA,granules et  pommade et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
CURACNE 10 mg,capsule molle,orale,,
CURACNE 20 mg,capsule molle,orale,,
CURACNE 40 mg,capsule molle,orale,,
CURACNE 5 mg,capsule molle,orale,,
CURARE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CURASPOT 5 %,gel,cutanée,,
CURCUMA LONGA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CURCUMA XANTHORRHIZA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH, crème et solution et granules et poudre,,
CURETHYL 26 POUR CENT,solution injectable,intraveineuse,,
CUTACNYL 10 POUR CENT,gel pour application,cutanée,,
CUTACNYL 2, gel pour application locale,gel pour application,,
CUTACNYL 5 POUR CENT,gel pour application,cutanée,,
CYAMEMAZINE BIOGARAN 100 mg,comprimé pelliculé sécable,orale,,
CYAMEMAZINE BIOGARAN 25 mg,comprimé pelliculé sécable,orale,,
CYAMEMAZINE VIATRIS 100 mg,comprimé pelliculé sécable,orale,,
CYAMEMAZINE VIATRIS 25 mg,comprimé pelliculé sécable,orale,,
CYANOKIT 5 g,poudre pour solution pour perfusion,intraveineuse,,
CYCLADOL 20 mg,comprimé effervescent(e),orale,,
CYCLAMEN EUROPAEUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYCLAMEN EUROPAEUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYCLO 3 FORT,gélule,orale,,
CYCLO 3,crème,cutanée,,
CYCLOPHOSPHAMIDE REDDY PHARMA 2000 mg/4 mL,solution à diluer pour solution injectable ou pour perfusion,intraveineuse,,
CYCLOPHOSPHAMIDE SANDOZ 1000 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
CYCLOPHOSPHAMIDE SANDOZ 500 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
CYMBALTA 30 mg,gélule gastro-résistant(e),orale,,
CYMBALTA 60 mg,gélule gastro-résistant(e),orale,,
CYMEVAN 500 mg,poudre pour solution à diluer pour perfusion,intraveineuse,,
CYNARA SCOLYMUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYNARA SCOLYMUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYNARA SCOLYMUS WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
CYNOMEL 0, comprimé sécable,comprimé sécable,,
CYPRIPEDIUM PUBESCENS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYPRIPEDIUM PUBESCENS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
CYSTINE / VITAMINE B6 BIOGARAN CONSEIL 500 mg/50 mg,comprimé pelliculé,orale,,
CYSTINE B6 BAILLEUL,comprimé pelliculé,orale,,
CYTARABINE ACCORD 20 mg/mL,solution injectable ou pour perfusion,intramusculaire/intrathécale/intraveineuse/sous-cutanée,,
CYTEAL,solution moussant(e),cutanée,,
Ca-DTPA 250 mg/mL,solution injectable,cutanée/inhalée/intraveineuse,,
Cefpodoxime VIATRIS enfants et nourissons 40 mg/5 ml,poudre pour suspension buvable,orale,,
DACARBAZINE LIPOMED 100 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
DACARBAZINE LIPOMED 1000 mg,poudre pour solution pour perfusion,intraveineuse,,
DACARBAZINE LIPOMED 200 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
DACARBAZINE LIPOMED 500 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
DACARBAZINE MEDAC 100 mg,poudre pour solution injectable ou pour perfusion,intraveineuse,,
DACARBAZINE MEDAC 1000 mg,poudre pour solution pour perfusion,intraveineuse,,
DACARBAZINE MEDAC 500 mg,poudre pour solution pour perfusion,intraveineuse,,
DACRYOSERUM,solution pour lavage,ophtalmique,,
DACRYUM,solution pour lavage,ophtalmique,,
DACTYLIS GLOMERATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DACUDOSES,solution pour lavage,ophtalmique,,
DAFALGAN 1000 mg,comprimé effervescent(e),orale,,
DAFALGAN 500 mg,comprimé,orale,,
DAFALGAN ADULTES 600 mg,suppositoire,rectale,,
DAFALGAN CODEINE,comprimé effervescent(e) sécable,orale,,
DAFALGANCAPS 1000 mg,gélule,orale,,
DAFALGANCAPS 500 mg,gélule,orale,,
DAFALGANHOP 1000 mg,comprimé effervescent(e),orale,,
DAFALGANTABS 1000 mg,comprimé pelliculé,orale,,
DAFLON 1000 mg,comprimé pelliculé,orale,,
DAFLON 500 mg,comprimé pelliculé,orale,,
DAILY,comprimé enrobé et  comprimé enrobé et  comprimé enrobé,orale,,
DAIVOBET 50 microgrammes/0, gel,gel,,
DAIVONEX 50 microgrammes/gramme,crème,cutanée,,
DAKIN COOPER STABILISE,solution pour application,cutanée,,
DAKTARIN 2 %,gel,voie buccale autre,,
DALACINE 150 mg,gélule,orale,,
DALACINE 300 mg,gélule,orale,,
DALACINE 75 mg,gélule,orale,,
DALFEINE,comprimé pelliculé,orale,,
DAMIANA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DAMIANA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
DANATROL 200 mg,gélule,orale,,
DANTRIUM 100 mg,gélule,orale,,
DANTRIUM 25 mg,gélule,orale,,
DANTRIUM INTRAVEINEUX,lyophilisat pour préparation injectable,intraveineuse,,
DAONIL 5 mg,comprimé sécable,orale,,
DARZALEX 1800 mg,solution injectable,sous-cutanée,,
DASATINIB BIOGARAN 100 mg,comprimé pelliculé,orale,,
DASATINIB BIOGARAN 140 mg,comprimé pelliculé,orale,,
DASATINIB BIOGARAN 20 mg,comprimé pelliculé,orale,,
DASATINIB BIOGARAN 50 mg,comprimé pelliculé,orale,,
DASATINIB BIOGARAN 70 mg,comprimé pelliculé,orale,,
DASATINIB EG 100 mg,comprimé pelliculé,orale,,
DASATINIB EG 140 mg,comprimé pelliculé,orale,,
DASATINIB EG 20 mg,comprimé pelliculé,orale,,
DASATINIB EG 50 mg,comprimé pelliculé,orale,,
DASATINIB EG 70 mg,comprimé pelliculé,orale,,
DASATINIB KRKA 100 mg,comprimé pelliculé,orale,,
DASATINIB KRKA 140 mg,comprimé pelliculé,orale,,
DASATINIB KRKA 20 mg,comprimé pelliculé,orale,,
DASATINIB KRKA 50 mg,comprimé pelliculé,orale,,
DASATINIB KRKA 70 mg,comprimé pelliculé,orale,,
DASATINIB SANDOZ 100 mg,comprimé pelliculé,orale,,
DASATINIB SANDOZ 140 mg,comprimé pelliculé,orale,,
DASATINIB SANDOZ 20 mg,comprimé pelliculé,orale,,
DASATINIB SANDOZ 50 mg,comprimé pelliculé,orale,,
DASATINIB SANDOZ 70 mg,comprimé pelliculé,orale,,
DASATINIB TEVA SANTE 100 mg,comprimé pelliculé,orale,,
DASATINIB TEVA SANTE 140 mg,comprimé pelliculé,orale,,
DASATINIB TEVA SANTE 20 mg,comprimé pelliculé,orale,,
DASATINIB TEVA SANTE 50 mg,comprimé pelliculé,orale,,
DASATINIB TEVA SANTE 70 mg,comprimé pelliculé,orale,,
DASATINIB VIATRIS 100 mg,comprimé pelliculé,orale,,
DASATINIB VIATRIS 140 mg,comprimé pelliculé,orale,,
DASATINIB VIATRIS 20 mg,comprimé pelliculé,orale,,
DASATINIB VIATRIS 50 mg,comprimé pelliculé,orale,,
DASATINIB VIATRIS 70 mg,comprimé pelliculé,orale,,
DASATINIB ZENTIVA 100 mg,comprimé pelliculé,orale,,
DASATINIB ZENTIVA 140 mg,comprimé pelliculé,orale,,
DASATINIB ZENTIVA 20 mg,comprimé pelliculé,orale,,
DASATINIB ZENTIVA 50 mg,comprimé pelliculé,orale,,
DASATINIB ZENTIVA 70 mg,comprimé pelliculé,orale,,
DEBRICALM 100 mg,comprimé pelliculé,orale,,
DEBRIDAT 100 mg,comprimé pelliculé,orale,,
DEBRIDAT 200 mg,comprimé pelliculé,orale,,
DEBRIDAT,granulés pour suspension buvable,orale,,
DECAPEPTYL 0, poudre et solvant pour solution injectable (S.C.),poudre et  solvant pour solution injectable,,
DECAPEPTYL L.P. 11, poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois,poudre et  solvant pour suspension injectable à libération prolongée,,
DECAPEPTYL L.P. 3 mg,poudre et  solvant pour suspension injectable à libération prolongée,intramusculaire,,
DECAPEPTYL LP 22, poudre et solvant pour suspension injectable à libération prolongée,poudre et  solvant pour suspension injectable à libération prolongée,,
DECTANCYL 0, comprimé,comprimé,,
DEDROGYL 15 mg/ 100 ml,solution buvable,orale,,
DEFERASIROX ACCORD 180 mg,comprimé pelliculé,orale,,
DEFERASIROX ACCORD 360 mg,comprimé pelliculé,orale,,
DEFERASIROX ACCORD 90 mg,comprimé pelliculé,orale,,
DEFERASIROX BIOGARAN 180 mg,comprimé pelliculé,orale,,
DEFERASIROX BIOGARAN 360 mg,comprimé pelliculé,orale,,
DEFERASIROX BIOGARAN 90 mg,comprimé pelliculé,orale,,
DEFERASIROX MYLAN 180 mg,comprimé pelliculé,orale,,
DEFERASIROX MYLAN 360 mg,comprimé pelliculé,orale,,
DEFERASIROX MYLAN 90 mg,comprimé pelliculé,orale,,
DEFERASIROX SANDOZ 180 mg,comprimé pelliculé,orale,,
DEFERASIROX SANDOZ 360 mg,comprimé pelliculé,orale,,
DEFERASIROX SANDOZ 90 mg,comprimé pelliculé,orale,,
DEFERASIROX TEVA 180 mg,comprimé pelliculé,orale,,
DEFERASIROX TEVA 360 mg,comprimé pelliculé,orale,,
DEFERASIROX TEVA 90 mg,comprimé pelliculé,orale,,
DEFERASIROX ZENTIVA 180 mg,comprimé pelliculé,orale,,
DEFERASIROX ZENTIVA 360 mg,comprimé pelliculé,orale,,
DEFERASIROX ZENTIVA 90 mg,comprimé pelliculé,orale,,
DEFERIPRONE ARROW 1000 mg,comprimé pelliculé sécable,orale,,
DEFERIPRONE ARROW 500 mg,comprimé pelliculé sécable,orale,,
DEFERIPRONE LIPOMED 500 mg,comprimé pelliculé,orale,,
DELIDOSE 0, gel en sachet-dose,gel,,
DELIDOSE 1 mg,gel,transdermique,,
DELIPROCT,pommade,rectale,,
DELPRIM 300 mg,comprimé sécable,orale,,
DELURSAN 250 mg,comprimé pelliculé,orale,,
DELURSAN 500 mg,comprimé pelliculé sécable,orale,,
DEMILOS 600 mg/1000 UI,comprimé orodispersible,orale,,
DENGVAXIA, atténué),poudre et  solvant pour suspension injectable,,
DENSICAL VITAMINE D3 500 mg/400 UI,comprimé à sucer ou à croquer,orale,,
DENTEX,solution pour bain de bouche,voie buccale autre,,
DENTINEA,solution buvable,orale,,
DENTOBAUME,solution,gingivale,,
DEPAKOTE 250 mg,comprimé gastro-résistant(e),orale,,
DEPAKOTE 500 mg,comprimé gastro-résistant(e),orale,,
DEPAMIDE 300 mg,comprimé pelliculé gastro-résistant(e),orale,,
DEPO PRODASONE 500 mg,suspension injectable,intramusculaire,,
DEPO PROVERA 150 mg/3 ml,suspension injectable,intramusculaire,,
DEPO-MEDROL 40 mg/1 ml,suspension injectable,endosinusale/intraarticulaire/intralésionnelle/intramusculaire/périarticulaire/voie parentérale autre,,
DEPRENYL 5 mg,comprimé,orale,,
DERINOX,solution pour pulvérisation,nasale,,
DERMAFUSONE 20 mg/1 mg/g,crème,cutanée,,
DERMESTRIL 100 microgrammes/24 heures,dispositif,transdermique,,
DERMESTRIL 25 microgrammes/24 heures,dispositif,transdermique,,
DERMESTRIL 50 microgrammes/24 heures,dispositif,transdermique,,
DERMESTRIL SEPTEM 25 microgrammes/24 heures,dispositif,transdermique,,
